name;author;price;referenceToFragment;link
Бережливое производство + шесть сигм в сфере услуг;Майкл Джордж;399;not defined;https://www.mann-ivanov-ferber.ru/books/paperbook/berelivoe/
Бизнесхак на каждый день;Игорь Манн;399;https://www.mann-ivanov-ferber.ru/assets/files/bookparts-new/biznesxak-na-kazhdyij-den/03-biznesxak-na-kazhdyij-den.mp3;https://www.mann-ivanov-ferber.ru/books/biznesxak-na-kazhdyij-den/
Как разговаривать с мудаками;Марк Гоулстон;399;https://www.mann-ivanov-ferber.ru/assets/files/bookparts-new/kak-razgovarivat-s-mudakami/kak-razgovarivat-s-mudakami.mp3;https://www.mann-ivanov-ferber.ru/books/kak-razgovarivat-s-mudakami/
Лидер и племя;Дэйв Логан;399;https://www.mann-ivanov-ferber.ru/assets/files/bookparts-new2/lider-i-plemya/lider-i-plemya-audio.mp3;https://www.mann-ivanov-ferber.ru/books/lider-i-plemya/
Евангелист бизнеса;Сергей Абдульманов;399;not defined;https://www.mann-ivanov-ferber.ru/books/evangelist-biznesa/
Парадокс страсти;Дин Делис;399;https://www.mann-ivanov-ferber.ru/assets/files/audiobooks/paradoks-strasti/03_v-poiskah-garmonii.mp3;https://www.mann-ivanov-ferber.ru/books/paradoks-strasti/
Новые размышления о личном развитии;Ицхак Адизес;399;https://www.mann-ivanov-ferber.ru/assets/files/bookparts/novye-razmyshleniya-o-lichnom-razvitii/Novie_razmishleniya_o_lichnom_razvitii.mp3;https://www.mann-ivanov-ferber.ru/books/novye-razmyshleniya-o-lichnom-razvitii/
О чем мечтать;Барбара Шер;399;https://www.mann-ivanov-ferber.ru/assets/media/files-2/o-chem-mechtat/o-chem-mechtat.mp3;https://www.mann-ivanov-ferber.ru/books/i_could_do_anything/
Размышления о личном развитии;Ицхак Адизес;399;https://www.mann-ivanov-ferber.ru/assets/files/bookparts/novye-razmyshleniya-o-lichnom-razvitii/razmyshleniya-o-lichnom-razvitii.mp3;https://www.mann-ivanov-ferber.ru/books/razmyshleniya_o_lichnom_razvitii/
Мечтать не вредно;Барбара Шер;399;https://www.mann-ivanov-ferber.ru/assets/files/bookparts/i-could-do-anything/Mechtat%20ne%20vredno.mp3;https://www.mann-ivanov-ferber.ru/books/mechtat_ne_vredno/
Важные годы;Мэг Джей;399;https://www.mann-ivanov-ferber.ru/assets/files/bookparts/opredelyayushhie_10_let/Vazhnie_godi.mp3;https://www.mann-ivanov-ferber.ru/books/opredelyayushhie_10_let/
Правила мозга;Джон Медина;319;https://www.mann-ivanov-ferber.ru/assets/files/audiobooks/pravila_mozga/00_Vstuplenie_pravila_mozga.mp3;https://www.mann-ivanov-ferber.ru/books/pravila_mozga/
Remote. Офис не обязателен;Джейсон Фрайд;319;https://www.mann-ivanov-ferber.ru/assets/files/audiobooks/remote-office-not-required/01_Glava%201.%20Prishlo%20vremia%20udalennoi%20raboty.mp3;https://www.mann-ivanov-ferber.ru/books/paperbook/remote-office-not-required/
К черту все! Берись и делай!;Ричард Брэнсон;399;not defined;https://www.mann-ivanov-ferber.ru/books/k_chertu_vse/
Потешки и пестушки;not defined;239;https://www.mann-ivanov-ferber.ru/assets/files/audiobooks/tales/01prosypaemsya.mp3;https://www.mann-ivanov-ferber.ru/books/children/tales/
Умение слушать;Бернард Феррари;319;https://www.mann-ivanov-ferber.ru/assets/files/audiobooks/power_listening_mp3/02_Vvedenie.mp3;https://www.mann-ivanov-ferber.ru/books/mif/oower-listening/
Сердце компании;Патрик Ленсиони;399;https://www.mann-ivanov-ferber.ru/assets/files/bookparts/advantage/serdce_kompanii.mp3;https://www.mann-ivanov-ferber.ru/books/paperbook/advantage/
Харизма лидера;Радислав Гандапас;456;https://www.mann-ivanov-ferber.ru/assets/files/audiobooks/charismatic_leader_mp3/vstuplenie.mp3;https://www.mann-ivanov-ferber.ru/books/secrets_of_the_great/charismatic-leader/
Школа Зоков и Бады;Ирина и Леонид Тюхтяевы;280;https://www.mann-ivanov-ferber.ru/assets/files/audiobooks/schkola-zokov-i-badi-mp3/1.mp3;https://www.mann-ivanov-ferber.ru/books/children/schkola-zokov-i-badi/
Отношение определяет результат;Дов Сайдман;399;https://www.mann-ivanov-ferber.ru/assets/files/bookparts/how/how.mp3;https://www.mann-ivanov-ferber.ru/books/paperbook/how/
Бизнес в стиле Virgin;Ричард Брэнсон;399;not defined;https://www.mann-ivanov-ferber.ru/books/paperbook/virgin/
Слон на танцполе;Евгений Карасюк;456;https://www.mann-ivanov-ferber.ru/assets/images/content/books/audio/slon-mp3/000_foreword.mp3;https://www.mann-ivanov-ferber.ru/books/paperbook/slon/
Как гибнут великие;Джим Коллинз;456;https://www.mann-ivanov-ferber.ru/assets/images/content/books/audio/how-the-mighty-fall_mp3/m00.mp3;https://www.mann-ivanov-ferber.ru/books/paperbook/how-the-mighty-fall_1/
Новая цель;Ди Джейкоб;359;https://www.mann-ivanov-ferber.ru/assets/files/bookparts/velcty/velcty.mp3;https://www.mann-ivanov-ferber.ru/books/biznesroman/velcty/
Гении и аутсайдеры;Малкольм Гладуэлл;360;https://www.mann-ivanov-ferber.ru/assets/files/bookparts/the-story-of-succes-mp3/vvedenie.mp3;https://www.mann-ivanov-ferber.ru/books/paperbook/story-succes/
Выбор сильнейших;Клаудио Фернандес Араос;399;not defined;https://www.mann-ivanov-ferber.ru/books/mif/greatpeopledecisions/
Афоризмы о пути к успеху (mp3);not defined;280;https://www.mann-ivanov-ferber.ru/assets/files/bookparts/009a/track9.mp3;https://www.mann-ivanov-ferber.ru/books/audio/009a/
Построенные навечно;Джим Коллинз;456;https://www.mann-ivanov-ferber.ru/assets/files/audiobooks/built_to_last_11CD/2.mp3;https://www.mann-ivanov-ferber.ru/books/sse/built-last/
Пятничный менеджер;not defined;336;https://www.mann-ivanov-ferber.ru/assets/files/bookparts/005a/01.mp3;https://www.mann-ivanov-ferber.ru/books/mif/021/
