name;author;price;referenceToFragment;link
Сила воли;Келли Макгонигал;399;https://www.mann-ivanov-ferber.ru/assets/files/audiobooks/thewillpowerinstinct_mp3/01_Predislovie.mp3;https://www.mann-ivanov-ferber.ru/books/mif/thewillpowerinstinct/
Зоки и Бада;Ирина и Леонид Тюхтяевы;280;https://www.mann-ivanov-ferber.ru/assets/images/content/books/audio/zoki_i_bada/1.%20%D0%92%D1%81%D1%82%D1%83%D0%BF%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5.mp3;https://www.mann-ivanov-ferber.ru/books/children/zoki-i-bada/
Сам себе МВА;Джош Кауфман;399;https://www.mann-ivanov-ferber.ru/assets/files/bookparts-new2/personal-mba/personal-mba-audio.mp3;https://www.mann-ivanov-ferber.ru/books/mif/personal-mba/
Доставляя счастье;Тони Шей;399;https://www.mann-ivanov-ferber.ru/assets/files/bookparts-new2/deliveringhappiness/deliveringhappiness-1_audio.mp3;https://www.mann-ivanov-ferber.ru/books/paperbook/deliveringhappiness/
Фиолетовая корова;Сет Годин;359;https://www.mann-ivanov-ferber.ru/assets/files/bookparts/007a/%D0%BA%D0%BE%D1%80%D0%BE%D0%B2%D0%B0.mp3;https://www.mann-ivanov-ferber.ru/books/mif/purplecow/
Deadline;Том ДеМарко;360;https://www.mann-ivanov-ferber.ru/assets/images/content/books/audio/Deadline_mp3/Deadline.%20%D0%9F%D1%80%D0%B5%D0%B4%D0%B8%D1%81%D0%BB%D0%BE%D0%B2%D0%B8%D0%B5.mp3;https://www.mann-ivanov-ferber.ru/books/biznesroman/deadline1/
Тайм-драйв;Глеб Архангельский;280;https://www.mann-ivanov-ferber.ru/assets/files/bookparts/001a/00_00.mp3;https://www.mann-ivanov-ferber.ru/books/tajm-drajv/
От хорошего к великому;Джим Коллинз;456;https://www.mann-ivanov-ferber.ru/assets/files/audiobooks/gtga/gtga-predislovie.mp3;https://www.mann-ivanov-ferber.ru/books/sse/good-great/
Камасутра для оратора;Радислав Гандапас;400;https://www.mann-ivanov-ferber.ru/assets/files/bookparts/050/Kamasutra_dlya_oratora.mp3;https://www.mann-ivanov-ferber.ru/books/mif/050/
Жизнь на полной мощности!;Джим Лоэр;399;https://www.mann-ivanov-ferber.ru/assets/files/bookparts/pfem/Zhizn_na_polnoj_moshnosti.mp3;https://www.mann-ivanov-ferber.ru/books/mif/pfem/
Маркетинг на 100%: ремикс;Игорь Манн;360;https://www.mann-ivanov-ferber.ru/assets/images/content/books/audio/002_mp3/01.mp3;https://www.mann-ivanov-ferber.ru/books/mif/002/
Безграничный разум;Джо Боулер;399;https://www.mann-ivanov-ferber.ru/assets/media/files-2/bezgranichnyij-razum/bezgranichnyij-razum.mp3;https://www.mann-ivanov-ferber.ru/books/bezgranichnyij-razum/
С меня хватит!;Ими Ло;399;https://www.mann-ivanov-ferber.ru/assets/media/files-2/s-menya-xvatit/s-menya-xvatit.mp3;https://www.mann-ivanov-ferber.ru/books/s-menya-xvatit/
Быть собой;Руби Уэкс;399;https://www.mann-ivanov-ferber.ru/assets/media/files-2/byit-soboj/byit-soboj.mp3;https://www.mann-ivanov-ferber.ru/books/byit-soboj/
О чем мы молчим с моей матерью;Мишель Филгейт;324;https://www.mann-ivanov-ferber.ru/assets/media/files-2/o-chem-myi-molchim-s-moej-materyu/o-chem-myi-molchim-s-moej-materyu.mp3;https://www.mann-ivanov-ferber.ru/books/o-chem-myi-molchim-s-moej-materyu/
Мода и гении;Ольга Хорошилова;324;https://www.mann-ivanov-ferber.ru/assets/media/files-2/moda-i-genii/005-moda-i-genii.mp3;https://www.mann-ivanov-ferber.ru/books/moda-i-genii/
Камень Дуччо;Стефани Стори;399;https://www.mann-ivanov-ferber.ru/assets/media/files-2/kamen-duchcho/15-kamen-duchcho.mp3;https://www.mann-ivanov-ferber.ru/books/kamen-duchcho/
Сириус;Стефан Серван;324;https://www.mann-ivanov-ferber.ru/assets/media/files-2/sirius/024-sirius.mp3;https://www.mann-ivanov-ferber.ru/books/sirius/
Взаперти;Люси Кристофер;324;https://www.mann-ivanov-ferber.ru/assets/media/files-2/vzaperti/001-vzaperti.mp3;https://www.mann-ivanov-ferber.ru/books/vzaperti/
Беспокойные;Лиза Ко;324;https://www.mann-ivanov-ferber.ru/assets/media/files-2/bespokojnyie/18-bespokojnyie.mp3;https://www.mann-ivanov-ferber.ru/books/bespokojnyie/
Nordic Dads;Александр Фельдберг;399;https://www.mann-ivanov-ferber.ru/assets/media/files-2/nordic-dads/nordic.mp3;https://www.mann-ivanov-ferber.ru/books/nordic-dads/
Женщины Девятой улицы;Мэри Габриэль;399;https://www.mann-ivanov-ferber.ru/assets/media/files/zhenshhinyi-devyatoj-uliczyi/zhenshhinyi-devyatoj-uliczyi.mp3;https://www.mann-ivanov-ferber.ru/books/zhenshhinyi-devyatoj-uliczyi/
Сырок;Борис Александров;399;https://www.mann-ivanov-ferber.ru/assets/media/files-2/syrok/syrok-19.mp3;https://www.mann-ivanov-ferber.ru/books/syrok/
Уроки истории;Уилл Дюрант;399;https://www.mann-ivanov-ferber.ru/assets/media/files-2/uroki-istorii/uroki-istorii-07.mp3;https://www.mann-ivanov-ferber.ru/books/uroki-istorii/
Выбор;Эдит Ева Эгер;324;https://www.mann-ivanov-ferber.ru/assets/media/files-2/vyibor/vyibor-03.mp3;https://www.mann-ivanov-ferber.ru/books/vyibor/
Правила жизни и бизнеса;Игорь Манн;399;https://www.mann-ivanov-ferber.ru/assets/media/files-2/pravila-zhizni-i-biznesa/pravila-zhizni-i-biznesa-1.mp3;https://www.mann-ivanov-ferber.ru/books/pravila-zhizni-i-biznesa/
Здоровое питание каждый день;Рут Энн Карпентер;399;https://www.mann-ivanov-ferber.ru/assets/media/files-2/zdorovoe-pitanie-kazhdyj-den/zdorovoe-pitanie-kazhdyj-den.mp3;https://www.mann-ivanov-ferber.ru/books/zdorovoe-pitanie-kazhdyj-den/
Бизнес по чуть-чуть;Владимир Моженков;399;https://www.mann-ivanov-ferber.ru/assets/media/files-2/biznes-po-chut-chut/07biznes-po-chut-chut.mp3;https://www.mann-ivanov-ferber.ru/books/biznes-po-chut-chut/
Время, занятое жизнью;Урсула Ле Гуин;324;https://www.mann-ivanov-ferber.ru/assets/media/files-2/vremya-zanyatoe-zhiznyu/vremya-zanyatoe-zhiznyu-02.mp3;https://www.mann-ivanov-ferber.ru/books/vremya-zanyatoe-zhiznyu/
Вижу цель — иду к ней;Дарья Гейлер;399;https://www.mann-ivanov-ferber.ru/assets/media/files/vizhu-cel-idu-k-nej/001vizhu-cel-idu-k-nej.mp3;https://www.mann-ivanov-ferber.ru/books/vizhu-cel-idu-k-nej/
33+. Алфавит жизненных историй;Лариса Парфентьева;399;https://www.mann-ivanov-ferber.ru/assets/media/files/33-alfavit-zhiznennyh-istorij/003-alfavit-zhiznennyh-istorij.mp3;https://www.mann-ivanov-ferber.ru/books/33-alfavit-zhiznennyh-istorij/
О мой блог!;Анна Шуст;399;https://www.mann-ivanov-ferber.ru/assets/media/files/o-moj-blog/05-o-moj-blog.mp3;https://www.mann-ivanov-ferber.ru/books/o-moj-blog/
Любовь на всю жизнь;Харвилл Хендрикс и Хелен Хант;399;https://www.mann-ivanov-ferber.ru/assets/media/files/lyubov-na-vsyu-zhizn/lyubov-na-vsyu-zhizn-03.mp3;https://www.mann-ivanov-ferber.ru/books/lyubov-na-vsyu-zhizn/
Магия утра для высоких продаж;Хэл Элрод;399;https://www.mann-ivanov-ferber.ru/assets/media/files/magiya-utra-dlya-vyisokix-prodazh/magiya-utra-dlya-vyisokix-prodazh-001.mp3;https://www.mann-ivanov-ferber.ru/books/magiya-utra-dlya-vyisokix-prodazh/
HBR Guide. Стресс на работе;Harvard Business Review;399;https://www.mann-ivanov-ferber.ru/assets/media/files/hbr-guide-stress-na-rabote/hbr-guide-stress-na-rabote-01.mp3;https://www.mann-ivanov-ferber.ru/books/hbr-guide-stress-na-rabote/
Скандинавские мифы;Кэролин Ларрингтон;399;https://www.mann-ivanov-ferber.ru/assets/media/files/skandinavskie-mify/skandinavskie-mify-03.mp3;https://www.mann-ivanov-ferber.ru/books/skandinavskie-mify/
Основы Теории U;Отто Шармер;399;https://www.mann-ivanov-ferber.ru/assets/media/files/osnovy-teorii-u/osnovy-teorii-u-000.mp3;https://www.mann-ivanov-ferber.ru/books/osnovy-teorii-u/
Цифровой минимализм;Кэл Ньюпорт;399;https://www.mann-ivanov-ferber.ru/assets/media/files/czifrovoj-minimalizm/czifrovoj-minimalizm-03.mp3;https://www.mann-ivanov-ferber.ru/books/czifrovoj-minimalizm/
Путь бизнеса;Галия Бердникова;399;https://www.mann-ivanov-ferber.ru/assets/media/book-images/put-biznesa/put-biznesa-audio-1.mp3;https://www.mann-ivanov-ferber.ru/books/put-biznesa/
Своя комната;Вирджиния Вулф;324;https://www.mann-ivanov-ferber.ru/assets/media/files/svoya-komnata/svoya-komnata-audio-3.mp3;https://www.mann-ivanov-ferber.ru/books/svoya-komnata/
Семья что надо;Нина Зверева;399;https://www.mann-ivanov-ferber.ru/assets/media/files/semya-chto-nado/semya-chto-nado.mp3;https://www.mann-ivanov-ferber.ru/books/semya-chto-nado/
Внимание самому важному;Нин Джеймс;399;https://www.mann-ivanov-ferber.ru/assets/media/files-2/vnimanie-samomu-vazhnomu/vnimanie-samomu-vazhnomu.mp3;https://www.mann-ivanov-ferber.ru/books/vnimanie-samomu-vazhnomu/
Самодисциплина 2.0;Владимир Якуба;399;https://www.mann-ivanov-ferber.ru/assets/media/files/samodisciplina-20/samodisciplina-20-audio-2.mp3;https://www.mann-ivanov-ferber.ru/books/samodisciplina-20/
Хватит гадать!;Нэт Грин;399;https://www.mann-ivanov-ferber.ru/assets/media/files/hvatit-gadat/03-hvatit-gadat.mp3;https://www.mann-ivanov-ferber.ru/books/hvatit-gadat/
Слон;Питер Карнавас;319;not defined;https://www.mann-ivanov-ferber.ru/books/slon/
Операция «Шедевр»;Роберт Уиттман;399;not defined;https://www.mann-ivanov-ferber.ru/books/operaciya-shedevr/
Откровения оратора;Скотт Беркун;399;https://www.mann-ivanov-ferber.ru/assets/media/files/otkroveniya-oratora/otkroveniya-oratora-audio-3.mp3;https://www.mann-ivanov-ferber.ru/books/otkroveniya-oratora/
Год без покупок;Кейт Фландерс;399;not defined;https://www.mann-ivanov-ferber.ru/books/god-bez-pokupok/
Вопросы — это ответы;Хэл Грегерсен;399;https://www.mann-ivanov-ferber.ru/assets/media/files/voprosy-eto-otvety/000-1.mp3;https://www.mann-ivanov-ferber.ru/books/voprosy-eto-otvety/
Бояться, но делать;Брэндон Уэбб;399;not defined;https://www.mann-ivanov-ferber.ru/books/boyatsya-no-delat/
Магия утра для писателей;Хэл Элрод;399;not defined;https://www.mann-ivanov-ferber.ru/books/magiya-utra-dlya-pisatelej/
Книга зожника;Максим Кудеров;399;https://www.mann-ivanov-ferber.ru/assets/media/files/kniga-zozhnika/kniga-zozhnika-audio-1.mp3;https://www.mann-ivanov-ferber.ru/books/kniga-zozhnika/
Десять минут до дзена;Оуэн О'Кейн;399;not defined;https://www.mann-ivanov-ferber.ru/books/desyat-minut-do-dzena/
Беседы о счастье;Аркадий Панц;399;not defined;https://www.mann-ivanov-ferber.ru/books/besedy-o-schaste/
Дом, который построил семью;Кара Брукинс;399;https://www.mann-ivanov-ferber.ru/assets/media/files/dom-kotoryj-postroil-semyu/02-dom-kotoryj-postroil-semyu.mp3;https://www.mann-ivanov-ferber.ru/books/dom-kotoryj-postroil-semyu/
По большому счету;Евгения Письменная;399;not defined;https://www.mann-ivanov-ferber.ru/books/po-bolshomu-schetu/
